"","title","Hierarchy","Occupation.type","Employment.2016","Employment.2026","ChgEmploy.2016to26.Num","ChgEmploy.2016to26.Perc","Percent.self.employed..2016","Occupational.openings..2016.26.annual.average","Median.annual.wage..2017.1.","Typical.education.needed.for.entry","Work.experience.in.a.related.occupation","Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation","ttl","Level0","Level4","Level3","Level2","Level1","pathString"
"615","Supervisors of sales workers",2,"Summary","1,937.60","2,015.30","77.7",4,25.7,"207.4","$41,860 ",NA,NA,NA,"Supervisors of sales workers","Jobs","Recreation workers","Personal care & service workers, all other","Supervisors of sales workers","Sales & related occupations","Jobs/Sales & related occupations/Supervisors of sales workers/Personal care & service workers, all other/Recreation workers"
"616","First-line supervisors of retail sales workers",3,"Line item","1,532.40","1,590.10","57.7",3.8,22.8,"168.5","$38,550 ","High school diploma or equivalent","Less than 5 years","None","First-line supervisors of retail sales workers","Jobs","Recreation workers","First-line supervisors of retail sales workers","Supervisors of sales workers","Sales & related occupations","Jobs/Sales & related occupations/Supervisors of sales workers/First-line supervisors of retail sales workers/Recreation workers"
"617","First-line supervisors of non-retail sales workers",3,"Line item","405.2","425.2","20",4.9,36.8,"39","$71,650 ","High school diploma or equivalent","Less than 5 years","None","First-line supervisors of non-retail sales workers","Jobs","Recreation workers","First-line supervisors of non-retail sales workers","Supervisors of sales workers","Sales & related occupations","Jobs/Sales & related occupations/Supervisors of sales workers/First-line supervisors of non-retail sales workers/Recreation workers"
"618","Retail sales workers",2,"Summary","8,891.50","8,978.80","87.3",1,1.9,"1,423.10","$22,400 ",NA,NA,NA,"Retail sales workers","Jobs","Recreation workers","First-line supervisors of non-retail sales workers","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/First-line supervisors of non-retail sales workers/Recreation workers"
"619","Cashiers",3,"Summary","3,578.90","3,548.90","-30",-0.8,0.6,"658.2","$21,050 ",NA,NA,NA,"Cashiers","Jobs","Recreation workers","Cashiers","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/Cashiers/Recreation workers"
"620","Cashiers",4,"Line item","3,555.50","3,524.90","-30.6",-0.9,0.6,"653.7","$21,030 ","No formal educational credential","None","Short-term on-the-job training","Cashiers","Jobs","Cashiers","Cashiers","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/Cashiers/Cashiers"
"621","Gaming change persons & booth cashiers",4,"Line item","23.4","24","0.6",2.6,0.3,"4.5","$23,910 ","No formal educational credential","None","Short-term on-the-job training","Gaming change persons & booth cashiers","Jobs","Gaming change persons & booth cashiers","Cashiers","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/Cashiers/Gaming change persons & booth cashiers"
"622","Counter & rental clerks & parts salespersons",3,"Summary","710.1","747.7","37.7",5.3,0.7,"94.7","$27,130 ",NA,NA,NA,"Counter & rental clerks & parts salespersons","Jobs","Gaming change persons & booth cashiers","Counter & rental clerks & parts salespersons","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/Counter & rental clerks & parts salespersons/Gaming change persons & booth cashiers"
"623","Counter & rental clerks",4,"Line item","458.2","483.2","25",5.5,0.5,"61.8","$25,820 ","No formal educational credential","None","Short-term on-the-job training","Counter & rental clerks","Jobs","Counter & rental clerks","Counter & rental clerks & parts salespersons","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/Counter & rental clerks & parts salespersons/Counter & rental clerks"
"624","Parts salespersons",4,"Line item","251.9","264.5","12.7",5,0.9,"32.9","$29,380 ","No formal educational credential","None","Moderate-term on-the-job training","Parts salespersons","Jobs","Parts salespersons","Counter & rental clerks & parts salespersons","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/Counter & rental clerks & parts salespersons/Parts salespersons"
"625","Retail salespersons",3,"Line item","4,602.50","4,682.10","79.7",1.7,3.2,"670.3","$23,210 ","No formal educational credential","None","Short-term on-the-job training","Retail salespersons","Jobs","Parts salespersons","Retail salespersons","Retail sales workers","Sales & related occupations","Jobs/Sales & related occupations/Retail sales workers/Retail salespersons/Parts salespersons"
"626","Sales representatives, services",2,"Summary","2,091.80","2,244.80","153",7.3,7.1,"249.2","$52,460 ",NA,NA,NA,"Sales representatives, services","Jobs","Parts salespersons","Retail salespersons","Sales representatives, services","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, services/Retail salespersons/Parts salespersons"
"627","Advertising sales agents",3,"Line item","149.9","144.5","-5.4",-3.6,5.8,"17.7","$49,680 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Advertising sales agents","Jobs","Parts salespersons","Advertising sales agents","Sales representatives, services","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, services/Advertising sales agents/Parts salespersons"
"628","Insurance sales agents",3,"Line item","501.4","551.2","49.8",9.9,18.4,"54.7","$49,710 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Insurance sales agents","Jobs","Parts salespersons","Insurance sales agents","Sales representatives, services","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, services/Insurance sales agents/Parts salespersons"
"629","Securities, commodities, & financial services sales agents",3,"Line item","375.7","398.9","23.3",6.2,4.8,"38","$63,780 ","Bachelor's degree","None","Moderate-term on-the-job training","Securities, commodities, etc","Jobs","Parts salespersons","Securities, commodities, etc","Sales representatives, services","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, services/Securities, commodities, etc/Parts salespersons"
"630","Travel agents",3,"Line item","81.7","72.2","-9.5",-11.7,14.9,"7.8","$36,990 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Travel agents","Jobs","Parts salespersons","Travel agents","Sales representatives, services","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, services/Travel agents/Parts salespersons"
"631","Sales representatives, services, all other",3,"Line item","983","1,077.90","94.9",9.7,1.8,"131","$52,510 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Sales representatives, services, etc","Jobs","Parts salespersons","Sales representatives, services, etc","Sales representatives, services","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, services/Sales representatives, services, etc/Parts salespersons"
"632","Sales representatives, wholesale & manufacturing",2,"Summary","1,813.50","1,907.60","94.1",5.2,3.8,"195.4","$60,340 ",NA,NA,NA,"Sales representatives, wholesale & manufacturing","Jobs","Parts salespersons","Sales representatives, services, etc","Sales representatives, wholesale & manufacturing","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, wholesale & manufacturing/Sales representatives, services, etc/Parts salespersons"
"633","Sales representatives, wholesale & manufacturing, technical & scientific products",3,"Line item","343.6","361.3","17.6",5.1,3.8,"37","$78,830 ","Bachelor's degree","None","Moderate-term on-the-job training","Sales representatives, wholesale & manufacturing, etc","Jobs","Parts salespersons","Sales representatives, wholesale & manufacturing, etc","Sales representatives, wholesale & manufacturing","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, wholesale & manufacturing/Sales representatives, wholesale & manufacturing, etc/Parts salespersons"
"634","Sales representatives, wholesale & manufacturing, except technical & scientific products",3,"Line item","1,469.90","1,546.30","76.4",5.2,3.8,"158.4","$56,970 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Sales representatives, wholesale & manufacturing, etc","Jobs","Parts salespersons","Sales representatives, wholesale & manufacturing, etc","Sales representatives, wholesale & manufacturing","Sales & related occupations","Jobs/Sales & related occupations/Sales representatives, wholesale & manufacturing/Sales representatives, wholesale & manufacturing, etc/Parts salespersons"
"635","Other sales & related workers",2,"Summary","1,013.40","1,060.00","46.5",4.6,33.9,"125.9","$33,630 ",NA,NA,NA,"Other sales & related workers","Jobs","Parts salespersons","Sales representatives, wholesale & manufacturing, etc","Other sales & related workers","Sales & related occupations","Jobs/Sales & related occupations/Other sales & related workers/Sales representatives, wholesale & manufacturing, etc/Parts salespersons"
"636","Models, demonstrators, & product promoters",3,"Summary","99.5","105.7","6.2",6.2,8,"17.9","$26,970 ",NA,NA,NA,"Models, demonstrators, etc","Jobs","Parts salespersons","Models, demonstrators, etc","Other sales & related workers","Sales & related occupations","Jobs/Sales & related occupations/Other sales & related workers/Models, demonstrators, etc/Parts salespersons"
"637","Demonstrators & product promoters",4,"Line item","94.7","100.9","6.2",6.6,8,"17.1","$27,060 ","No formal educational credential","None","Short-term on-the-job training","Demonstrators & product promoters","Jobs","Demonstrators & product promoters","Models, demonstrators, etc","Other sales & related workers","Sales & related occupations","Jobs/Sales & related occupations/Other sales & related workers/Models, demonstrators, etc/Demonstrators & product promoters"
